ip,app,device,os,channel,click_time,attributed_time,is_attributed
104271,12,1,19,219,2017-11-09 14:16:58,,0
119524,3,1,10,137,2017-11-09 09:29:47,,0
172914,12,1,13,265,2017-11-08 15:46:28,,0
60924,15,1,9,130,2017-11-08 03:13:49,,0
158596,18,3032,607,107,2017-11-06 18:03:58,,0
97213,10,1,13,377,2017-11-07 11:56:04,,0
119531,12,1,2,259,2017-11-07 21:15:05,,0
25536,13,1,18,477,2017-11-07 06:03:06,,0
27997,64,1,3,459,2017-11-07 03:44:54,,0
66940,26,1,13,121,2017-11-08 06:56:15,,0
16859,3,1,13,424,2017-11-09 09:13:42,,0
14692,12,1,17,497,2017-11-07 11:05:52,,0
64609,3,1,19,280,2017-11-08 15:13:34,,0
39081,12,1,3,245,2017-11-09 04:05:11,,0
209627,26,1,23,121,2017-11-08 11:47:43,,0
6828,3,1,19,205,2017-11-09 04:00:09,,0
73269,26,1,19,121,2017-11-07 06:56:29,,0
69971,21,1,13,128,2017-11-09 13:47:15,,0
88727,12,1,19,328,2017-11-07 04:09:55,,0
106800,12,1,8,265,2017-11-07 17:43:19,,0
121428,6,1,32,125,2017-11-07 21:34:27,,0
159797,3,1,12,489,2017-11-09 08:05:02,,0
55745,15,1,9,278,2017-11-09 13:26:32,,0
133548,3,1,13,280,2017-11-08 00:57:22,,0
278738,9,1,13,234,2017-11-08 09:11:31,,0
58524,9,1,18,232,2017-11-08 18:15:41,,0
6336,3,1,19,480,2017-11-08 07:28:24,,0
48240,2,1,13,237,2017-11-08 09:26:52,,0
77969,14,1,19,379,2017-11-09 14:06:37,,0
13634,12,1,13,145,2017-11-07 03:11:45,,0
65695,1,1,13,125,2017-11-07 13:59:25,,0
93512,23,1,19,153,2017-11-08 13:51:00,,0
81574,2,1,13,477,2017-11-07 16:36:14,,0
192744,3,1,19,280,2017-11-08 16:44:46,,0
204134,3,1,9,280,2017-11-07 01:41:54,,0
99024,9,1,37,334,2017-11-09 04:05:40,,0
109743,12,2,13,178,2017-11-09 06:51:44,,0
91821,12,1,18,174,2017-11-07 00:26:59,,0
321268,1,1,13,134,2017-11-08 17:58:50,,0
76710,3,1,19,280,2017-11-08 00:18:22,,0
119383,14,1,13,463,2017-11-07 15:36:55,,0
3744,64,1,13,459,2017-11-07 07:00:20,,0
111374,18,1,13,121,2017-11-08 10:58:40,,0
119349,26,1,41,477,2017-11-09 15:18:59,,0
